Table_Id,City,Place_Fips,Geo_Id,State,State_Fips,Total_Population
100001,Coffman Cove,16360,16000US0216360,AK,2,150
100002,Cohoe,16420,16000US0216420,AK,2,1577
100003,Cold Bay,16530,16000US0216530,AK,2,46
100004,Coldfoot,16630,16000US0216630,AK,2,10
100005,College,16750,16000US0216750,AK,2,14675
100006,Cooper Landing,17190,16000US0217190,AK,2,457
100007,Copper Center,17300,16000US0217300,AK,2,405
100008,Cordova,17410,16000US0217410,AK,2,2621
100009,Covenant Life,17670,16000US0217670,AK,2,105
100010,Craig,17740,16000US0217740,AK,2,1231
100011,Crooked Creek,17850,16000US0217850,AK,2,98
100012,Crown Point,17960,16000US0217960,AK,2,132
100013,Deering,18510,16000US0218510,AK,2,144
100014,Delta Junction,18620,16000US0218620,AK,2,1045
100015,Deltana,18675,16000US0218675,AK,2,2311
100016,Diamond Ridge,18925,16000US0218925,AK,2,1140
100017,Dillingham,18950,16000US0218950,AK,2,2307
100018,Diomede,19060,16000US0219060,AK,2,43
100019,Dot Lake,19720,16000US0219720,AK,2,0
100020,Dot Lake Village,19750,16000US0219750,AK,2,54
100021,Dry Creek,20020,16000US0220020,AK,2,84
100022,Eagle,20380,16000US0220380,AK,2,89
100023,Eagle Village,20600,16000US0220600,AK,2,17
100024,Edna Bay,20970,16000US0220970,AK,2,0
100025,Eek,21040,16000US0221040,AK,2,455
100026,Egegik,21150,16000US0221150,AK,2,68
100027,Eielson AFB,21370,16000US0221370,AK,2,2630
100028,Ekwok,21810,16000US0221810,AK,2,78
100029,Elfin Cove,22140,16000US0222140,AK,2,24
100030,Elim,22250,16000US0222250,AK,2,328
100031,Emmonak,22910,16000US0222910,AK,2,835
100032,Ester,23460,16000US0223460,AK,2,3008
100033,Eureka Roadhouse,23720,16000US0223720,AK,2,0
100034,Evansville,23790,16000US0223790,AK,2,16
100035,Excursion Inlet,23900,16000US0223900,AK,2,40
100036,Fairbanks,24230,16000US0224230,AK,2,32193
100037,False Pass,24660,16000US0224660,AK,2,37
100038,Farmers Loop,24980,16000US0224980,AK,2,4149
100039,Farm Loop,25000,16000US0225000,AK,2,1081
100040,Ferry,25220,16000US0225220,AK,2,6
100041,Fishhook,25550,16000US0225550,AK,2,5323
100042,Flat,25880,16000US0225880,AK,2,0
100043,Fort Greely,26100,16000US0226100,AK,2,391
100044,Fort Yukon,26760,16000US0226760,AK,2,555
100045,Four Mile Road,26835,16000US0226835,AK,2,10
100046,Fox,26870,16000US0226870,AK,2,558
100047,Fox River,26910,16000US0226910,AK,2,649
100048,Fritz Creek,27090,16000US0227090,AK,2,1910
100049,Funny River,27145,16000US0227145,AK,2,776
100050,Gakona,27420,16000US0227420,AK,2,205
100051,Galena,27530,16000US0227530,AK,2,554
100052,Gambell,27640,16000US0227640,AK,2,718
100053,Game Creek,27700,16000US0227700,AK,2,36
100054,Gateway,28200,16000US0228200,AK,2,5610
100055,Glacier View,28590,16000US0228590,AK,2,249
100056,Glennallen,28740,16000US0228740,AK,2,366
100057,Goldstream,29130,16000US0229130,AK,2,3862
100058,Golovin,29180,16000US0229180,AK,2,132
100059,Goodnews Bay,29290,16000US0229290,AK,2,230
100060,Grayling,30060,16000US0230060,AK,2,171
100061,Gulkana,30500,16000US0230500,AK,2,115
100062,Gustavus,30940,16000US0230940,AK,2,496
100063,Haines,31050,16000US0231050,AK,2,1955
100064,Halibut Cove,31270,16000US0231270,AK,2,23
100065,Happy Valley,31710,16000US0231710,AK,2,607
100066,Harding-Birch Lakes,31765,16000US0231765,AK,2,142
100067,Healy,32150,16000US0232150,AK,2,1120
100068,Healy Lake,32310,16000US0232310,AK,2,0
100069,Hobart Bay,32550,16000US0232550,AK,2,0
100070,Hollis,32810,16000US0232810,AK,2,124
100071,Holy Cross,33030,16000US0233030,AK,2,214
100072,Homer,33140,16000US0233140,AK,2,5324
100073,Hoonah,33360,16000US0233360,AK,2,821
100074,Hooper Bay,33470,16000US0233470,AK,2,1140
100075,Hope,33580,16000US0233580,AK,2,50
100076,Houston,33800,16000US0233800,AK,2,1977
100077,Hughes,33910,16000US0233910,AK,2,62
100078,Huslia,34350,16000US0234350,AK,2,420
100079,Hydaburg,34460,16000US0234460,AK,2,277
100080,Hyder,34570,16000US0234570,AK,2,13
100081,Igiugig,34790,16000US0234790,AK,2,49
100082,Iliamna,35120,16000US0235120,AK,2,78
100083,Ivanof Bay,35890,16000US0235890,AK,2,0
100084,Juneau city and borough,36400,16000US0236400,AK,2,32531
